ID,route,condition,order,distanceMoved,taskTime
1,3,A,1,621.0,86.0
1,4,B,2,500.0,69.0
1,1,C,3,527.0,81.0
1,2,D,4,694.0,179.0
1,2,D,4,478.0,66.0
2,3,A,1,603.0,97.0
2,1,B,2,599.0,108.0
2,4,D,3,721.0,160.0
2,2,C,4,592.0,123.0
3,3,A,1,615.0,83.0
3,2,C,2,458.0,65.0
3,1,B,3,529.0,90.0
3,4,D,4,673.0,108.0
4,1,A,1,581.0,98.0
4,3,C,2,674.0,96.0
4,2,D,3,568.0,108.0
4,4,B,4,602.0,102.0
5,4,A,1,547.0,134.0
5,3,D,2,703.0,175.0
5,1,B,3,559.0,116.0
5,2,C,4,492.0,146.0
6,1,A,1,584.0,89.0
6,4,D,2,712.0,101.0
6,2,C,3,532.0,90.0
6,3,B,4,620.0,90.0
7,1,B,1,551.0,87.0
7,4,A,2,500.0,72.0
7,3,C,3,585.0,87.0
7,2,D,4,485.0,79.0
13,4,C,1,586.0,95.0
13,3,A,2,667.0,135.0
13,2,B,3,570.0,109.0
13,1,D,4,780.0,141.0
19,2,D,1,480.0,74.0
19,3,A,2,640.0,99.0
19,1,B,3,576.0,89.0
19,4,C,4,525.0,92.0
11,2,B,1,466.0,72.0
11,1,D,2,520.0,78.0
11,3,A,3,606.0,91.0
11,4,C,4,551.0,105.0
17,2,C,1,524.0,101.0
17,1,D,2,578.0,122.0
17,4,A,3,542.0,231.0
17,3,B,4,607.0,134.0
8,1,B,1,537.0,77.0
8,2,A,2,462.0,65.0
8,4,D,3,764.0,168.0
8,3,C,4,607.0,88.0
15,2,C,1,493.0,81.0
15,3,B,2,624.0,98.0
15,4,A,3,509.0,90.0
15,1,D,4,597.0,100.0
23,3,D,1,617.0,121.0
23,1,C,2,546.0,101.0
23,2,A,3,469.0,74.0
23,4,B,4,507.0,77.0
21,2,D,1,628.0,102.0
21,4,B,2,525.0,77.0
21,1,A,3,590.0,83.0
21,3,C,4,927.0,156.0
18,3,C,1,619.0,94.0
18,4,D,2,687.0,137.0
18,2,B,3,459.0,67.0
18,1,A,4,580.0,132.0
12,1,B,1,550.0,134.0
12,2,D,2,656.0,157.0
12,3,C,3,651.0,103.0
12,4,A,4,538.0,121.0
24,4,D,1,697.0,99.0
24,2,C,2,455.0,61.0
24,3,B,3,601.0,82.0
24,1,A,4,515.0,69.0
9,4,B,1,523.0,102.0
9,1,C,2,749.0,139.0
9,2,A,3,475.0,102.0
9,3,D,4,650.0,113.0
16,4,C,1,546.0,84.0
16,1,B,2,550.0,101.0
16,3,D,3,648.0,103.0
16,2,A,4,479.0,90.0
10,3,B,1,657.0,114.0
10,2,C,2,502.0,94.0
10,4,D,3,889.0,165.0
10,1,A,4,1178.0,184.0
20,4,D,1,695.0,137.0
20,2,A,2,464.0,77.0
20,1,C,3,573.0,98.0
20,3,B,4,614.0,95.0
22,2,D,1,750.0,125.0
22,4,B,2,528.0,85.0
22,3,C,3,687.0,107.0
22,1,A,4,539.0,77.0
4,1,A,1,519.0,76.0
4,3,C,2,585.0,103.0
4,2,D,3,500.0,111.0
4,4,B,4,507.0,96.0
14,1,C,1,674.0,111.0
14,3,A,2,615.0,96.0
14,4,D,3,681.0,126.0
14,2,B,4,463.0,75.0
21,2,D,1,545.0,114.0
21,4,B,2,494.0,75.0
21,1,A,3,564.0,110.0
21,3,C,4,665.0,121.0
8,1,B,1,533.0,120.0
8,2,A,2,554.0,133.0
8,4,D,3,756.0,201.0
8,3,C,4,638.0,100.0
19,2,D,1,494.0,68.0
19,3,A,2,657.0,100.0
19,1,B,3,551.0,90.0
19,4,C,4,533.0,84.0
